Year,Month,Quarter,PoliceStation,CrimeCount
2014,7,2014 Q3,Akaroa,6
2014,7,2014 Q3,Alexandra,7
2014,7,2014 Q3,Amberley,7
2014,7,2014 Q3,Arthurs Pass,1
2014,7,2014 Q3,Ashburton,45
2014,7,2014 Q3,Auckland Airport,17
2014,7,2014 Q3,Auckland Central,177
2014,7,2014 Q3,Auckland Harbour Bridge,1
2014,7,2014 Q3,Avondale,134
2014,7,2014 Q3,Balclutha,22
2014,7,2014 Q3,Balmoral,105
2014,7,2014 Q3,Bay View,9
2014,7,2014 Q3,Beachlands CCB,4
2014,7,2014 Q3,Bell Block,17
2014,7,2014 Q3,Benneydale,3
2014,7,2014 Q3,Blenheim,75
2014,7,2014 Q3,Bluff,1
2014,7,2014 Q3,Browns Bay,40
2014,7,2014 Q3,Bulls,11
2014,7,2014 Q3,Cambridge,30
2014,7,2014 Q3,Carterton,15
2014,7,2014 Q3,Chatham Islands,2
2014,7,2014 Q3,Cheviot,7
2014,7,2014 Q3,Christchurch,154
2014,7,2014 Q3,Christchurch Airport,5
2014,7,2014 Q3,Christchurch South,85
2014,7,2014 Q3,Clinton,4
2014,7,2014 Q3,Coromandel,6
2014,7,2014 Q3,Cromwell,10
2014,7,2014 Q3,Culverden,5
2014,7,2014 Q3,Dannevirke,25
2014,7,2014 Q3,Darfield,7
2014,7,2014 Q3,Dargaville,24
2014,7,2014 Q3,Dunedin Central,52
2014,7,2014 Q3,Dunedin North,49
2014,7,2014 Q3,Dunedin South,70
2014,7,2014 Q3,Edgecumbe,17
2014,7,2014 Q3,Eketahuna,7
2014,7,2014 Q3,Eltham,13
2014,7,2014 Q3,Fairlie,1
2014,7,2014 Q3,Featherston,11
2014,7,2014 Q3,Feilding,43
2014,7,2014 Q3,Fitzroy CPC,24
2014,7,2014 Q3,Flaxmere,42
2014,7,2014 Q3,Foxton,26
2014,7,2014 Q3,Franz Josef,2
2014,7,2014 Q3,Geraldine,6
2014,7,2014 Q3,Gisborne,110
2014,7,2014 Q3,Glen Innes,102
2014,7,2014 Q3,Glenfield,98
2014,7,2014 Q3,Gore,17
2014,7,2014 Q3,Granity,4
2014,7,2014 Q3,Great Barrier Island,1
2014,7,2014 Q3,Green Island,15
2014,7,2014 Q3,Greymouth,21
2014,7,2014 Q3,Greytown,4
2014,7,2014 Q3,Half-Moon Bay,1
2014,7,2014 Q3,Hamilton Central,254
2014,7,2014 Q3,Hamilton East,96
2014,7,2014 Q3,Hampden,1
2014,7,2014 Q3,Hanmer Springs,4
2014,7,2014 Q3,Hastings,123
2014,7,2014 Q3,Havelock,5
2014,7,2014 Q3,Havelock North,16
2014,7,2014 Q3,Hawera,34
2014,7,2014 Q3,Helensville,22
2014,7,2014 Q3,Henderson,190
2014,7,2014 Q3,Highbury,56
2014,7,2014 Q3,Hikurangi,12
2014,7,2014 Q3,Hokitika,5
2014,7,2014 Q3,Hornby,144
2014,7,2014 Q3,Houhora,1
2014,7,2014 Q3,Howick,92
2014,7,2014 Q3,Hunterville,4
2014,7,2014 Q3,Huntly,34
2014,7,2014 Q3,Inglewood,6
2014,7,2014 Q3,Invercargill Central,101
2014,7,2014 Q3,Johnsonville,55
2014,7,2014 Q3,Kaeo,8
2014,7,2014 Q3,Kaiapoi,23
2014,7,2014 Q3,Kaikohe,38
2014,7,2014 Q3,Kaikorai Valley,37
2014,7,2014 Q3,Kaikoura,4
2014,7,2014 Q3,Kaitaia,44
2014,7,2014 Q3,Kamo CPC,37
2014,7,2014 Q3,Kapiti,72
