Police_station,address
Air Support Unit,"
            3 Solent St,Mechanics Bay,Auckland"
Akaroa Police Station,"
            9 Rue Lavaud,Akaroa"
Alexandra Police Station,"
            2 Kelman St,Alexandra"
Amberley Police Station,"
            106 Carters Rd,Amberley"
Armoury (National),"
            863 Fergusson Drive,Upper Hutt"
Arrowtown Community Policing Centre,"
            57 Buckingham St,Arrowtown,Queenstown"
Arthur's Pass Police Station,"
            State Highway 73,Arthur's Pass"
Ashburton Police Station,"
            303 Havelock St,Ashburton"
Ashhurst Police Station,"
            14 Guildford St,Ashhurst"
Auckland Airport Police Station,"
            5 Cyril Kay Rd,Auckland Airport"
Auckland Central Police Station,"
            13-15 College Hill,
Freemans Bay,Auckland Central,Auckland"
Auckland City District Headquarters,"
            Cnr Cook & Vincent Streets,Auckland Central,AUCKLAND"
Avondale Police Station,"
            1832 Great North Rd,Avondale,Auckland"
Balclutha Police Station,"
            7-9 Renfrew St,Balclutha"
Balmoral Police Station,"
            1-3 Halston Rd,Mount Eden,Balmoral"
Bay of Plenty District Headquarters,"
            1190-1214 Fenton St,Rotorua,ROTORUA"
Bay View Police Station,"
            15 Petane Rd,Bay View"
Beachlands Community Policing Base,"
            43 Kouka Road,Beachlands 2018"
Benneydale Police Station,"
            66 Ellis Rd,Benneydale,Waitomo"
Blenheim Police Station,"
            8 Main St,Blenheim"
Bluff Police Station,"
            80 Barrow St,Bluff"
Browns Bay Police Station,"
            10 Bayview Rd,Browns Bay"
Bulls Police Station,"
            105 Bridge St,Bulls"
Cambridge Police Station,"
            18 Dick St,Cambridge"
Canterbury District Headquarters,"
            40 Lichfield Street,Christchurch Central,CHRISTCHURCH"
Carterton Police Station,"
            5 Holloway St,Carterton"
Central District Headquarters,"
            404 Church St,Palmerston North,Palmerston North"
Chatham Islands Police Station,"
            Waitangi-Tuku Rd,Chatham Islands"
Cheviot Police Station,"
            8 McQueen Rd,Cheviot,Cheviot, North Canterbury"
Christchurch Central Police Station,"
            40 Lichfield Street,Christchurch Central ,Christchurch"
Christchurch South Police Station,"
            154-158 Colombo Street,Christchurch"
Clevedon Police Station,"
            4 Papakura-Clevedon Rd,Clevedon,Papakura"
Clinton Police Station,"
            15 Gorge Rd,Clinton"
Commercial Vehicle Unit,"
            Cnr Beach & Stanley Street,Auckland"
Coromandel Police Station,"
            405 Kapanga Rd,Coromandel"
Cromwell Police Station,"
            157 Waenga Dr,Cromwell"
Culverden Police Station,"
            6 Searle Cr,Culverden"
Dannevirke Police Station,"
            13 Gordon St,Dannevirke"
Darfield Police Station,"
            14 North Tce,Darfield"
Dargaville Police Station,"
            18 Portland St,Dargaville"
Document Examination Section,"
            c/o Wellington Central Police Station
Cnr Victoria and Harris Streets,Wellington"
Dog Base - Auckland,"
            31 Main Highway, Ellerslie,Auckland"
Dog Training Centre,"
            Dante Road,Trentham"
Dunedin Airport,"
            25 Miller Road,Dunedin 9073"
Dunedin Central Police Station,"
            25 Great King St,Dunedin Central,Dunedin"
Dunedin North Police Station,"
            111 North Rd,North East Valley,Dunedin"
Dunedin South Police Station,"
            77 MacAndrew Rd,South Dunedin,Dunedin"
Eastern District Headquarters,"
            77 Station St
,Napier,Napier 4110"
Edgecumbe Police Station,"
            17 Kauri St,Edgecumbe"
Eketahuna Police Station,"
            6 Newman Rd,Eketahuna"
Eltham Police Station,"
            175 High St,Eltham"
Fairlie Police Station,"
            Kirke St,Fairlie"
Featherston Police Station,"
            3 Daniell St,Featherston,Featherston"
Feilding Police Station,"
            93 Kimbolton Rd,Feilding"
"Fingerprint Office, National","
            190 Thorndon Quay,Wellington"
Fitzroy Police Station,"
            12 Clemow Rd,Fitzroy,New Plymouth"
Flaxmere Police Station,"
            15 Swansea Rd,Flaxmere"
Foxton Beach Police Station,"
            2 Ocean Beach St,Foxton Beach"
Foxton Police Station,"
            1 Main St,Foxton"
Franz Josef Police Station,"
            13 Main rd,Franz Josef"
Geraldine Police Station,"
            45 Talbot St,Geraldine"
Gisborne Police Station,"
            Cnr Gladstone Road and Customhouse Street,Gisborne"
Glasnevin,"
            North Canterbury,Waipara"
Glen Innes Police Station,"
            88 Line Rd,Glen Innes"
Glenfield Police Station,"
            365 Glenfield Rd,Glenfield"
Gonville Police Station,"
            2 Harper St,Gonville,Whanganui"
Gore Police Station,"
            2 Hokonui Dr,Gore"
Granity Police Station,"
            81 Torea St,Granity"
Great Barrier Island Police Station,"
            175 Hector Sanderson Rd,Claris,Great Barrier Island"
Green Island Police Station,"
            198 Main South Rd,Green Island,Dunedin"
Greymouth Police Station,"
            45-47 Guinness St,Greymouth"
Haast Police Station,"
            2 Pauareka Rd,Haast"
Halfmoon Bay Police Station,"
            2 View St,Halfmoon Bay,Stewart Island, 9846"
Hamilton Central Police Station,"
            12 Anzac Parade 
(formerly Bridge St),Hamilton Central,Hamilton"
Hampden Police Station,"
            28 London St,Hampden,Hampden"
Hanmer Springs Police Station,"
            39 Amuri Av,Hamner Springs"
"Harbour Bridge Centre, Auckland","
            28 Sulphur Beach Road, Northcote Point, Birkenhead,Auckland"
"Harbour Bridge Centre, Auckland","
            Motorway Policing Centre (Postal Address),Auckland"
Harlech House,"
            482 Great South Rd,Otahuhu,Auckland"
Hastings Police Station,"
            205 Railway Rd,Hastings"
Havelock Police Station,"
            59 Main Rd,Havelock"
Hawera Police Station,"
            128 Princes St,Hawera"
Headquarters - see Police National Headquarters,"
            180 Molesworth Street,Wellington"
Helensville Police Station,"
            8 Rimu St,Helensville"
Henderson Community Constable,"
            7 Buscomb Av,Henderson,Henderson"
Highbury Police Station,"
            94 Highbury Av,Highbury,Palmerston North"
Hikurangi Police Station,"
            3 Valley Rd,Hikurangi"
Hokitika Police Station,"
            50 Sewell St,Hokitika"
Hornby Police Station,"
            9-13 Tower Street,Hornby"
Houhora Police Station,"
            11 Lamb Rd,Pukenui,Kaitaia"
Howick Police Station,"
            35 Fencible Drive,Howick,Auckland"
Hunterville Police Station,"
            3 Bruce St,Hunterville"
Huntly Police Station,"
            27 William St,Huntly,Waikato"
Information and Technology Group,"
            Papakowhai Road,Papakowhai,Porirua"
Inglewood Police Station,"
            4 Brookes St,Inglewood"
Invercargill Central Police Station,"
            117 Don St,Invercargill"
Invercargill South Police Station,"
            141 Janet Street,Appleby,Invercargill"
Johnsonville Police Station,"
            6-10 Moorefield Rd,Johnsonville,Wellington"
Kaeo Police Station,"
            Leigh St,Kaeo"
Kaiapoi Police Station,"
            149 Williams St,Kaiapoi"
Kaikohe Police Station,"
            142 Broadway,Kaikohe"
Kaikorai Valley Community Policing Centre,"
            33 Kaikorai Valley Rd,Kaikorai"
Kaikoura Police Station,"
            12 Hastings St,Kaikoura"
Kaitaia Police Station,"
            17-19 Redan Rd,Kaitaia,Kaitaia"
Kamo Police Station,"
            416 Kamo Rd,Kamo,Whangarei"
Kapiti Police Station,"
            Corner Rimu Road and Kapiti Road,Paraparaumu"
Karamea Police Station,"
            37 Wharf Rd,Karamea"
Katikati Police Station,"
            78 Main Rd,Katikati"
Kawakawa Police Station,"
            18 Albert St,Kawakawa"
Kawerau Police Station,"
            3 Bledisloe St,Kawerau"
Kawhia Police Station,"
            98 Tainui St,Kawhia"
Kerikeri Police Station,"
            102 Kerikeri Rd,Kerikeri"
Kilbirnie Police Station,"
            639 Evans Bay Pde,Kilbirnie,Wellington"
Kimbolton Police Station,"
            2890 Kimbolton Rd,Kimbolton,Kimbolton"
Knowledge and Information Services,"
            Royal NZ Police College, Papakowhai Rd,PORIRUA"
Kohukohu Police Station,"
            2 Maning St,Kohukohu"
Kotemaori Police Station,"
            4780 State Highway,Kotemaori,Hawke's Bay"
Kumeu/Huapai Police Station,"
            4 Matua Road,Huapai"
Kurow Police Station,"
            29 Bledisloe St,Kurow"
Lake Tekapo Police Station,"
            SH 8,Lake Tekapo"
Lawrence Police Station,"
            27 Beaumont Hwy,Lawrence"
Leeston Police Station,"
            2 Cunningham St,Leeston"
Levin Police Station,"
            7 Bristol St,Levin"
