Year,Month,Quarter,Country,NZ_City,Visit_Purpose,Accommodation_Type,Age,AvgDaysSpent,AvgSpending,Gender
2014,April,2014 1,Czech Republic,Auckland,Other,Backpackers,22,352,22000,1
2014,April,2014 1,England,Christchurch,Holiday / vacation,"Motel, Motor Inn or Serviced Apartment",67,22,3662.990294,1
2014,April,2014 1,France,Auckland,Other,House / flat that you paid some rent for,27,357,5000,1
2014,April,2014 2,Australia,Auckland,Business,"Motel, Motor Inn or Serviced Apartment",39.5,5.625,1122.405075144625,8
2014,April,2014 2,Australia,Auckland,Conference / convention,"Luxury Accommodation, 5-star Hotel, Luxury Lodge",30.75,4.5,1190.839129425,4
2014,April,2014 2,Australia,Auckland,Education,Staying with family or friends,27,6,649.5486161,1
2014,April,2014 2,Australia,Auckland,Holiday / vacation,"Motel, Motor Inn or Serviced Apartment",44.357142857142854,8.142857142857142,1925.2933551142858,28
2014,April,2014 2,Australia,Auckland,Other,Staying with family or friends,54.5,10.5,1257.581027,2
2014,April,2014 2,Australia,Auckland,Visiting friends / relatives,Staying with family or friends,41.205882352941174,9.970588235294118,1122.1231405,34
2014,April,2014 2,Australia,Christchurch,Business,"Motel, Motor Inn or Serviced Apartment",45.333333333333336,5.666666666666667,2016.6666666666667,3
2014,April,2014 2,Australia,Christchurch,Holiday / vacation,"Motel, Motor Inn or Serviced Apartment",40.76190476190476,11.19047619047619,2092.260357247619,42
2014,April,2014 2,Australia,Christchurch,Visiting friends / relatives,Staying with family or friends,45,9.733333333333333,1108.5723446266666,15
2014,April,2014 2,Australia,Queenstown,Business,"Motel, Motor Inn or Serviced Apartment",57,8,4315.613438,1
2014,April,2014 2,Australia,Queenstown,Conference / convention,"Luxury Accommodation, 5-star Hotel, Luxury Lodge",47,4,475,1
2014,April,2014 2,Australia,Queenstown,Holiday / vacation,"Luxury Accommodation, 5-star Hotel, Luxury Lodge",43.76470588235294,9.588235294117647,2857.556303970588,17
2014,April,2014 2,Australia,Wellington,Business,Hotel,42,6.5,1353.2262835000001,2
2014,April,2014 2,Australia,Wellington,Holiday / vacation,Hotel,47.5,9.2,5784.58635306,10
2014,April,2014 2,Australia,Wellington,Other,Hotel,42,3,1244.968181,1
2014,April,2014 2,Australia,Wellington,Visiting friends / relatives,Staying with family or friends,44,8.444444444444445,1054.6023711222222,9
2014,April,2014 2,Austria,Auckland,Visiting friends / relatives,Staying with family or friends,32,24,3182.966679,1
2014,April,2014 2,Austria,Christchurch,Holiday / vacation,Hotel,47,7,4624.1432585,2
2014,April,2014 2,Belgium,Auckland,Visiting friends / relatives,Staying with family or friends,62,22,2387.2250089999998,1
2014,April,2014 2,Belgium,Christchurch,Holiday / vacation,"Motel, Motor Inn or Serviced Apartment",22,8,557.0191688,1
2014,April,2014 2,Cambodia,Christchurch,Holiday / vacation,"Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",37,14,1428.571429,1
